PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM08
4-character ID, AV06
Station name, AKU_AkutPtAK2005
Begin Date, 2005-06-22
End Date, 2018-09-15
Release Date, 2018-11-17
Source file, AV06.pbo.nam08.pos
Offset from source file, -12.60 mm North, -7.17 mm East, 12.53 mm Vertical
Reference position, 54.1471796925 North Latitude, -165.7657206321 East Longitude, 463.09852 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2005-09-27,-2.35, 0.13, 13.70, 1.79, 1.35, 6.04, repro,
2005-09-28,-2.28, 1.65, 16.41, 1.83, 1.38, 6.24, repro,
2005-09-29,1.95, 3.18, 5.96, 1.99, 1.5, 6.72, repro,
2005-09-30,-0.83, 2.81, 6.00, 1.96, 1.46, 6.57, repro,
2005-10-01,-0.29, 3.57, 10.11, 1.92, 1.44, 6.46, repro,
2005-10-02,1.12, 0.83, 3.16, 1.6, 1.22, 5.47, repro,
2005-10-03,0.24, 1.30, 7.08, 1.77, 1.33, 5.95, repro,
2005-10-04,-1.97, -1.12, 1.97, 1.8, 1.36, 6.03, repro,
2005-10-05,-2.28, 3.09, 4.47, 1.72, 1.29, 5.84, repro,
2005-10-06,-1.65, 3.96, 0.73, 2.09, 1.56, 6.91, repro,
2005-10-07,2.35, 4.13, 9.99, 2.1, 1.56, 6.92, repro,
2005-10-08,-2.45, 7.75, 7.33, 2.04, 1.53, 6.79, repro,
2005-10-09,-0.59, 0.77, 6.44, 1.94, 1.45, 6.46, repro,
2005-10-10,-0.85, 0.77, 7.44, 1.76, 1.31, 5.79, repro,
2005-10-11,-1.01, 0.34, 2.70, 1.59, 1.2, 5.38, repro,
2005-10-12,-1.39, 3.15, 11.58, 1.9, 1.42, 6.29, repro,
2005-10-13,-0.97, 1.15, 7.96, 1.93, 1.46, 6.38, repro,
2005-10-14,0.77, 0.55, 5.99, 1.72, 1.3, 5.75, repro,
2005-10-15,-4.28, 1.05, 7.67, 1.76, 1.32, 5.85, repro,
2005-10-16,0.34, 2.55, 2.40, 1.84, 1.37, 6.09, repro,
2005-10-17,-1.05, -2.03, -6.67, 2.35, 1.73, 7.7, repro,
2005-10-18,0.73, 2.88, 8.24, 2.12, 1.58, 6.93, repro,
2005-10-19,-0.02, 1.74, 0.83, 1.89, 1.42, 6.25, repro,
2005-10-20,-1.06, -0.20, 3.78, 1.95, 1.48, 6.5, repro,
2005-10-21,3.02, -3.67, 0.32, 1.97, 1.48, 6.54, repro,
2005-10-22,-1.74, -3.88, 1.05, 2.03, 1.52, 6.72, repro,
2005-10-23,-0.22, -2.12, -5.25, 2.02, 1.52, 6.69, repro,
2005-10-24,-2.31, 0.38, 4.23, 1.8, 1.36, 6, repro,
2005-10-25,-0.71, 1.38, 5.90, 1.69, 1.29, 5.71, repro,
2005-10-26,-1.26, 1.13, 9.06, 1.7, 1.3, 5.72, repro,
2005-10-27,-1.53, 2.43, 7.83, 1.92, 1.46, 6.42, repro,
2005-10-28,-1.58, 1.73, 4.60, 1.84, 1.41, 6.14, repro,
2005-10-29,-3.01, 1.69, 4.37, 1.8, 1.39, 6.02, repro,
2005-10-30,-3.64, 1.71, 5.28, 1.74, 1.35, 5.86, repro,
2005-10-31,-2.37, 0.40, 1.24, 1.93, 1.48, 6.41, repro,
2005-11-01,0.15, -0.55, 6.68, 2.03, 1.55, 6.81, repro,
2005-11-02,-2.16, 2.13, 9.63, 1.91, 1.48, 6.47, repro,
2005-11-03,0.39, -2.07, -2.49, 2.18, 1.66, 7.28, repro,
2005-11-04,-1.91, 0.54, 3.09, 1.86, 1.44, 6.27, repro,
2005-11-05,-5.66, 3.59, 1.01, 1.9, 1.51, 6.48, repro,
2005-11-06,-0.87, -0.41, -0.02, 1.82, 1.44, 6.15, repro,
2005-11-07,-3.37, -0.11, 2.93, 1.92, 1.48, 6.47, repro,
2005-11-08,-4.48, -0.15, 5.41, 1.88, 1.46, 6.28, repro,
2005-11-09,-3.71, -2.30, 1.96, 1.9, 1.48, 6.42, repro,
2005-11-10,-1.15, -2.58, 1.26, 1.93, 1.5, 6.5, repro,
2005-11-11,-3.63, -0.03, 3.28, 1.81, 1.42, 6.16, repro,
2005-11-12,-3.86, 0.33, 2.06, 1.8, 1.42, 6.15, repro,
2005-11-13,-2.92, 0.02, -1.34, 1.64, 1.28, 5.58, repro,
2005-11-14,-3.20, 0.23, 1.66, 1.72, 1.35, 5.81, repro,
2005-11-15,-3.07, 0.22, -2.96, 1.67, 1.32, 5.69, repro,
2005-11-16,-5.53, -0.60, -0.71, 1.78, 1.41, 6.02, repro,
2005-11-17,-4.23, 3.09, 2.23, 1.75, 1.39, 5.86, repro,
2005-11-18,-4.35, 2.23, 7.17, 1.68, 1.36, 5.65, repro,
2005-11-19,-2.44, 1.02, 7.60, 1.8, 1.45, 6.03, repro,
2005-11-20,-2.34, 1.39, 4.65, 1.82, 1.49, 6.17, repro,
2005-11-21,-3.32, 1.21, 7.24, 1.78, 1.43, 6.07, repro,
2005-11-22,-3.49, 0.81, 4.29, 1.68, 1.34, 5.63, repro,
2005-11-23,-3.01, 1.01, 8.56, 1.71, 1.38, 5.77, repro,
2005-11-24,-3.39, -0.54, 11.37, 1.79, 1.45, 6.07, repro,
2005-11-25,-1.81, 0.43, 2.09, 1.9, 1.52, 6.35, repro,
2005-11-26,-1.68, 1.77, 3.75, 1.78, 1.45, 6.02, repro,
2005-11-27,-3.04, 1.33, -4.97, 1.98, 1.55, 6.6, repro,
2005-11-28,-2.44, 1.29, -0.74, 1.86, 1.48, 6.23, repro,
2005-11-29,-2.55, 0.13, -1.74, 1.72, 1.37, 5.79, repro,
2005-11-30,-1.96, 1.89, -1.72, 1.68, 1.34, 5.67, repro,
2005-12-01,-2.04, 1.51, 0.94, 1.75, 1.42, 5.9, repro,
2005-12-02,-2.00, 1.73, 0.13, 1.69, 1.35, 5.74, repro,
2005-12-03,-2.04, 1.00, 3.30, 1.53, 1.23, 5.25, repro,
2005-12-04,-1.66, 1.07, -1.10, 1.76, 1.42, 5.89, repro,
2005-12-05,-2.95, 1.29, -3.95, 1.89, 1.49, 6.28, repro,
2005-12-06,-4.38, 1.77, 3.29, 1.84, 1.44, 6.14, repro,
2005-12-07,-5.73, -0.57, 4.43, 1.82, 1.44, 6.09, repro,
2005-12-08,-5.47, 0.50, 2.42, 1.88, 1.47, 6.27, repro,
2005-12-09,-2.80, 2.23, 5.46, 1.78, 1.4, 5.93, repro,
2005-12-10,-1.76, 2.12, 3.08, 1.62, 1.28, 5.45, repro,
2005-12-11,-2.06, 1.54, 6.76, 1.52, 1.21, 5.21, repro,
2005-12-12,-0.65, 2.64, 6.13, 1.74, 1.38, 5.82, repro,
2005-12-13,-3.62, 3.23, -0.21, 1.75, 1.39, 5.83, repro,
2005-12-14,-3.67, 3.46, 3.22, 1.61, 1.28, 5.39, repro,
2005-12-15,-3.90, 0.67, 0.15, 1.44, 1.16, 4.91, repro,
2005-12-16,-4.12, 1.73, 3.63, 1.58, 1.26, 5.28, repro,
2005-12-17,-4.29, 2.73, 5.74, 1.67, 1.32, 5.61, repro,
2005-12-18,-2.60, 1.38, 6.33, 1.77, 1.37, 5.89, repro,
2005-12-19,-1.67, 1.84, 4.15, 1.75, 1.39, 5.92, repro,
2005-12-20,-2.06, 2.10, 3.74, 1.79, 1.41, 6.01, repro,
2005-12-21,-1.86, 2.69, 3.75, 1.83, 1.43, 6.18, repro,
2005-12-22,-2.27, 0.10, 6.93, 1.78, 1.41, 6.01, repro,
2005-12-23,-2.86, 1.38, -1.35, 1.77, 1.41, 5.95, repro,
2005-12-24,-3.48, 3.59, 7.05, 1.9, 1.49, 6.08, repro,
2005-12-25,-3.14, 1.12, 3.01, 1.9, 1.5, 6.07, repro,
2005-12-26,-2.20, 1.81, 7.30, 1.82, 1.44, 5.82, repro,
2005-12-27,-1.45, 1.40, 3.41, 1.8, 1.43, 5.74, repro,
2005-12-28,-1.52, 2.84, -1.12, 1.8, 1.42, 5.77, repro,
2005-12-29,-2.02, 1.57, -2.31, 1.79, 1.45, 5.78, repro,
2005-12-30,-2.57, 2.69, 0.32, 1.8, 1.46, 5.85, repro,
2005-12-31,-3.39, 2.82, -2.00, 1.8, 1.45, 5.76, repro,
2006-01-01,-3.15, 2.18, 1.58, 1.72, 1.39, 5.53, repro,
2006-01-02,-1.96, 1.79, 0.20, 1.65, 1.34, 5.29, repro,
2006-01-03,-1.52, 2.20, -1.79, 1.66, 1.4, 5.41, repro,
2006-01-04,-4.57, 2.30, -8.23, 1.7, 1.43, 5.5, repro,
2006-01-05,-1.28, 1.73, 0.74, 1.67, 1.39, 5.37, repro,
2006-01-06,-1.11, 2.09, 3.05, 1.74, 1.45, 5.57, repro,
2006-01-07,-3.64, 1.41, 5.59, 1.77, 1.46, 5.68, repro,
2006-01-08,-2.19, 1.65, 3.43, 1.77, 1.44, 5.64, repro,
2006-01-09,-4.60, 1.93, 1.42, 1.81, 1.45, 5.75, repro,
2006-01-10,-2.93, 2.23, -0.38, 1.77, 1.44, 5.71, repro,
2006-01-11,-2.21, 3.23, 2.26, 1.75, 1.44, 5.66, repro,
2006-01-12,-3.57, 3.22, 2.70, 1.79, 1.47, 5.78, repro,
2006-01-13,-1.65, 1.49, 3.41, 1.88, 1.55, 6.11, repro,
2006-01-14,-0.19, 1.79, 3.28, 1.9, 1.54, 6.09, repro,
2006-01-15,-4.90, -2.92, 9.40, 1.82, 1.46, 5.72, repro,
2006-01-16,-4.97, 1.05, 2.55, 1.82, 1.47, 5.75, repro,
2006-01-17,-2.76, 3.24, -6.91, 1.78, 1.42, 5.55, repro,
2006-01-18,-1.30, 2.27, 1.95, 1.67, 1.35, 5.27, repro,
2006-01-19,-2.00, 1.02, 3.35, 1.68, 1.38, 5.31, repro,
2006-01-20,0.01, -1.49, 5.55, 1.69, 1.38, 5.37, repro,
2006-01-21,-0.39, -3.37, 10.90, 1.67, 1.34, 5.24, repro,
2006-01-22,1.23, -6.58, 3.20, 1.73, 1.4, 5.45, repro,
2006-01-23,-0.66, -3.43, 1.06, 1.66, 1.34, 5.23, repro,
2006-01-24,1.05, -3.78, -0.61, 1.73, 1.37, 5.54, repro,
2006-01-25,-0.20, -2.52, 6.08, 2.18, 1.91, 7.89, repro,
2006-01-26,1.42, -3.34, 8.25, 1.67, 1.31, 5.27, repro,
2006-01-27,1.72, -3.15, 5.92, 1.62, 1.27, 5.12, repro,
2006-01-28,4.79, -5.18, 12.15, 1.55, 1.23, 4.87, repro,
2006-01-29,5.16, -5.41, 17.35, 1.55, 1.22, 4.87, repro,
2006-01-30,6.11, -5.59, 13.55, 1.52, 1.22, 4.85, repro,
2006-01-31,4.86, -4.70, 16.91, 1.48, 1.18, 4.7, repro,
2006-02-01,5.52, -4.51, 20.44, 1.49, 1.19, 4.72, repro,
2006-02-02,4.24, -4.19, 15.85, 1.47, 1.17, 4.69, repro,
2006-02-03,0.25, -1.45, 13.82, 1.69, 1.32, 5.39, repro,
2006-02-04,7.93, -2.99, 19.12, 1.74, 1.36, 5.51, repro,
2006-02-05,-2.62, 2.14, 3.83, 1.67, 1.31, 5.28, repro,
2006-02-06,-3.78, 4.45, 3.79, 1.74, 1.36, 5.57, repro,
2006-02-07,-2.12, 1.09, -5.35, 1.86, 1.44, 5.88, repro,
2006-02-08,-2.92, 0.65, -0.94, 1.69, 1.33, 5.37, repro,
2006-02-09,-5.53, 0.44, -0.73, 1.79, 1.41, 5.76, repro,
2006-02-10,-1.57, 1.16, 0.83, 1.79, 1.41, 5.69, repro,
2006-02-11,-4.42, 2.51, 6.84, 1.84, 1.43, 5.86, repro,
2006-02-12,-2.42, 0.58, -3.52, 1.94, 1.52, 6.22, repro,
2006-02-13,0.85, -1.14, -5.02, 2.07, 1.61, 6.55, repro,
2006-02-14,0.42, 0.77, -11.25, 1.97, 1.53, 6.29, repro,
2006-02-15,-6.37, 0.63, -8.64, 1.95, 1.53, 6.28, repro,
2006-02-16,-5.49, 1.02, -1.86, 1.87, 1.46, 5.95, repro,
2006-02-17,-2.73, 1.73, 1.55, 1.99, 1.54, 6.36, repro,
2006-02-18,-7.55, -2.10, -4.06, 2, 1.58, 6.42, repro,
2006-02-19,-1.12, -0.28, 3.73, 1.88, 1.46, 5.9, repro,
2006-02-20,-2.35, 0.02, -2.77, 1.77, 1.4, 5.69, repro,
2006-02-21,-1.93, -1.18, -2.71, 1.6, 1.29, 5.07, repro,
2006-02-22,-4.32, -1.40, -2.25, 1.78, 1.4, 5.65, repro,
2006-02-23,-2.51, -0.17, 3.01, 1.83, 1.44, 5.85, repro,
2006-02-24,-4.48, 2.56, 2.06, 1.74, 1.37, 5.55, repro,
2006-02-25,-1.38, -8.16, 3.44, 2.24, 1.71, 7.09, repro,
2006-02-26,-2.20, -0.53, 2.99, 2.11, 1.62, 6.67, repro,
2006-02-27,-1.64, -2.53, -0.69, 1.76, 1.37, 5.57, repro,
2006-02-28,-3.65, -0.09, 2.08, 1.67, 1.32, 5.38, repro,
2006-03-01,-6.01, 0.61, 7.77, 2, 1.56, 6.44, repro,
2006-03-02,-4.68, 0.47, 3.36, 1.81, 1.4, 5.75, repro,
2006-03-03,-4.59, 1.27, 6.69, 1.75, 1.4, 5.75, repro,
2006-03-04,-2.63, -1.51, 1.01, 1.79, 1.38, 5.75, repro,
2006-03-05,-0.42, -0.96, -2.53, 1.83, 1.41, 5.85, repro,
2006-03-06,-3.54, -0.40, 4.76, 1.66, 1.29, 5.28, repro,
2006-03-07,-3.56, -0.37, 4.18, 1.77, 1.37, 5.62, repro,
2006-03-08,-0.66, -0.42, -2.12, 1.81, 1.4, 5.75, repro,
2006-03-09,1.12, 1.00, 2.44, 1.81, 1.39, 5.76, repro,
2006-03-10,-2.98, 2.14, 2.58, 2.01, 1.51, 6.34, repro,
2006-03-11,-7.29, 1.62, 0.37, 1.95, 1.5, 6.23, repro,
2006-03-12,-5.00, 0.65, 2.46, 1.75, 1.36, 5.57, repro,
2006-03-13,-1.47, 0.14, 5.08, 1.7, 1.32, 5.47, repro,
2006-03-14,-2.20, -0.60, 2.42, 1.67, 1.3, 5.35, repro,
2006-03-15,0.07, 0.02, 6.52, 1.66, 1.29, 5.39, repro,
2006-03-16,-3.25, -0.83, -1.68, 2.03, 1.53, 6.45, repro,
2006-03-17,-5.29, 1.60, -2.66, 1.91, 1.48, 6.16, repro,
2006-03-18,-0.81, 1.81, 2.69, 1.87, 1.44, 6.02, repro,
2006-03-19,-1.64, 1.82, -5.36, 1.87, 1.44, 6.04, repro,
2006-03-20,-2.63, -1.96, -4.44, 1.97, 1.51, 6.32, repro,
2006-03-21,-2.94, -0.20, -3.40, 1.82, 1.4, 5.88, repro,
2006-03-22,-5.84, 1.66, -6.95, 1.87, 1.43, 6.05, repro,
2006-03-23,-4.34, 1.34, -7.75, 1.84, 1.45, 5.98, repro,
2006-03-24,-0.67, -0.96, -7.49, 1.88, 1.47, 6.11, repro,
2006-03-25,-2.16, 2.58, -4.16, 1.88, 1.47, 6.11, repro,
2006-03-26,-2.07, 0.44, -3.89, 1.78, 1.4, 5.81, repro,
2006-03-27,-3.93, 0.51, -8.88, 2.01, 1.56, 6.51, repro,
2006-03-28,-2.47, 1.22, 5.23, 1.78, 1.35, 5.58, repro,
